==============================================================================
UCOM.h : 72 simbolos, 45 sin casar, 54124 bytes pendientes
==============================================================================
  11168B   99.6% linea:422   zWorld               __static_initialization_and_destruction_0
   9380B   16.3% linea:422   zAI                  __static_initialization_and_destruction_0
   7996B    3.8% linea:422   zPhysics             __static_initialization_and_destruction_0
   4544B   10.2% linea:422   zEcstasy             __static_initialization_and_destruction_0
   4464B   49.3% linea:422   zPhysicsBehaviors    __static_initialization_and_destruction_0
   3604B    9.6% linea:422   zCamera              __static_initialization_and_destruction_0
   2116B   15.1% linea:422   zSpeech              __static_initialization_and_destruction_0
   1956B    4.0% linea:422   zSim                 __static_initialization_and_destruction_0
   1472B   53.9% linea:422   zWorld2              __static_initialization_and_destruction_0
   1444B   44.2% linea:422   zMisc                __static_initialization_and_destruction_0
   1304B   31.8% linea:422   zMain                __static_initialization_and_destruction_0
    588B   46.9% linea:422   zAnim                __static_initialization_and_destruction_0
    480B   47.3% linea:422   zFe2                 __static_initialization_and_destruction_0
    340B    0.0% linea:422   zPlatform            __static_initialization_and_destruction_0
    300B   26.5% linea:422   zGameplay            __static_initialization_and_destruction_0
    224B    0.0% linea:419   zSpeech              Speech::SpeechHashIDMap::~SpeechHashIDMap(void)
    224B    0.0% linea:419   zSpeech              Speech::EventHistory::~EventHistory(void)
    220B   73.6% linea:422   zFe                  __static_initialization_and_destruction_0
    208B   59.5% linea:422   zFeOverlay           __static_initialization_and_destruction_0
    180B    0.0% linea:422   zCamera              UTL::Collections::Listable<IDebugWatchCar, 2>::List::~List(void)
    132B    0.0% linea:419   zSpeech              Speech::SPCHEventList::~SPCHEventList(void)
    124B    0.0% linea:451   zSim                 UTL::COM::Factory<Sim::Param, Sim::IEntity, UCrc32>::CreateInstance(UCrc32, Sim::Param)
    124B    0.0% linea:451   zAI                  UTL::COM::Factory<Sim::Param, Sim::IActivity, UCrc32>::CreateInstance(UCrc32, Sim::Param
    124B    0.0% linea:451   zAI                  UTL::COM::Factory<Sim::Param, ISimable, UCrc32>::CreateInstance(UCrc32, Sim::Param)
     96B    0.0% linea:451   zSim                 UTL::COM::Factory<Sim::Packet *, int, UCrc32>::CreateInstance(UCrc32, Sim::Packet *)
     96B    0.0% linea:451   zSim                 UTL::COM::Factory<Sim::ConnectionData const &, Sim::Connection, UCrc32>::CreateInstance(
     96B    0.0% linea:451   zPhysics             UTL::COM::Factory<BehaviorParams const &, Behavior, UCrc32>::CreateInstance(UCrc32, Beha
     96B    0.0% linea:451   zMain                UTL::COM::Factory<int, InputDevice, UCrc32>::CreateInstance(UCrc32, int)
     96B    0.0% linea:451   zCamera              UTL::COM::Factory<CameraAI::Director *, CameraAI::Action, UCrc32>::CreateInstance(UCrc32
     96B    0.0% linea:451   zAI                  UTL::COM::Factory<ISimable *, AIGoal, UCrc32>::CreateInstance(UCrc32, ISimable *)
     96B    0.0% linea:451   zAI                  UTL::COM::Factory<AIActionParams *, AIAction, UCrc32>::CreateInstance(UCrc32, AIActionPa
     92B    0.0% linea:451   zAI                  UTL::COM::Factory<Sound::AudioEventParams const &, Sound::AudioEvent, unsigned int>::Cre
     80B    0.0% linea:422   zLua                 __static_initialization_and_destruction_0
     80B    0.0% linea:422   zGameModes           __static_initialization_and_destruction_0
     44B    0.0% linea:422   zPlatform            global constructors keyed to snProfilerEnable
     44B    0.0% linea:422   zLua                 global constructors keyed to LuaRealloc
     44B    0.0% linea:422   zGameModes           global constructors keyed to aEmotionalSummaryTypeStrings
